"AphiaID";"ScientificName";"Name";"Rank";"Authority";"Kingdom";"Phylum";"ParentID";"url"
163346;"Rhizosolenia calcar-avis";"Rhizosolenia calcar-avis";"Species";"Schultze, 1858";"Chromista";"Ochrophyta";149069;"http://marinespecies.org/aphia.php?p=taxdetails&id=163346"
141607;"Teredo navalis";"Teredo navalis";"Species";"Linnaeus, 1758";"Animalia";"Mollusca";138539;"http://marinespecies.org/aphia.php?p=taxdetails&id=141607"
163275;"Antithamnionella ternifolia";"Antithamnionella ternifolia";"Species";"(J.D.Hooker & Harvey) Lyle, 1922";"Plantae";"Rhodophyta";143828;"http://marinespecies.org/aphia.php?p=taxdetails&id=163275"
292672;"Fucus distichus subsp. evanescens";"Fucus distichus subsp. evanescens";"Subspecies";"(C.Agardh) H.T.Powell, 1957";"Chromista";"Ochrophyta";145544;"http://marinespecies.org/aphia.php?p=taxdetails&id=292672"
370564;"Grateloupia subpectinata";"Grateloupia subpectinata";"Species";"Holmes, 1912";"Plantae";"Rhodophyta";144044;"http://marinespecies.org/aphia.php?p=taxdetails&id=370564"
102433;"Jassa marmorata";"Jassa marmorata";"Species";"Holmes, 1905";"Animalia";"Arthropoda";101571;"http://marinespecies.org/aphia.php?p=taxdetails&id=102433"
145946;"Protomonostroma undulatum";"Protomonostroma undulatum";"Species";"(Wittrock) K.L.Vinogradova, 1969";"Plantae";"Chlorophyta";144291;"http://marinespecies.org/aphia.php?p=taxdetails&id=145946"
1027787;"Melanothamnus harveyi";"Melanothamnus harveyi";"Species";"(Bailey) Díaz-Tapia & Maggs, 2017";"Plantae";"Rhodophyta";369883;"http://marinespecies.org/aphia.php?p=taxdetails&id=1027787"
144437;"Porphyra umbilicalis";"Porphyra umbilicalis";"Species";"Kützing, 1843";"Plantae";"Rhodophyta";143808;"http://marinespecies.org/aphia.php?p=taxdetails&id=144437"
129769;"Alkmaria romijni";"Alkmaria romijni";"Species";"Horst, 1919";"Animalia";"Annelida";129152;"http://marinespecies.org/aphia.php?p=taxdetails&id=129769"
